Offset-Description                                                                   
0000 - String            20C3A040 : DCH_EVO1           20BFCC40 : FIA_COU            
05F4 - 4 Bytes           20C3A634 : 0                  20BFD234 : 910775196          
05F8 - 4 Bytes           20C3A638 : 0                  20BFD238 : 910775196          
05FC - 4 Bytes           20C3A63C : 0                  20BFD23C : 910775196          
0600 - 4 Bytes           20C3A640 : 0                  20BFD240 : 910775196          
0604 - 4 Bytes           20C3A644 : 0                  20BFD244 : 910775196          
0608 - 4 Bytes           20C3A648 : 0                  20BFD248 : 910775196          
060C - 4 Bytes           20C3A64C : 0                  20BFD24C : 910775196          
0610 - Double            20C3A650 : 0.0027343747006671 20BFD250 : 0.0027343747006671 
0618 - Float             20C3A658 : 1                  20BFD258 : 1                  
061C - Pointer           20C3A65C : P->3D897793        20BFD25C : P->3E2DA5C0        
0620 - Double            20C3A660 : 85.3333129882813   20BFD260 : 0.220744729042053  
0628 - Double            20C3A668 : 0.0094150677323341420BFD268 : 11.6992893201113   
0630 - Byte              20C3A670 : 174                20BFD270 : 174                
0631 - Byte              20C3A671 : 71                 20BFD271 : 71                 
0632 - Byte              20C3A672 : 97                 20BFD272 : 97                 
0633 - Byte              20C3A673 : 62                 20BFD273 : 62                 
0634 - 4 Bytes           20C3A674 : 0                  20BFD274 : 0                  
0638 - Float             20C3A678 : 10                 20BFD278 : 10                 
063C - 4 Bytes           20C3A67C : 1796               20BFD27C : 1028               
0640 - String            20C3A680 : DCH_EVO1           20BFD280 : FIA_COU            
0649 - Byte              20C3A689 : 0                  20BFD289 : 0                  
064A - Byte              20C3A68A : 0                  20BFD28A : 0                  
064B - Byte              20C3A68B : 0                  20BFD28B : 0                  
064C - Float             20C3A68C : 12800              20BFD28C : 12800              
0650 - Float             20C3A690 : 12800              20BFD290 : 12800              
0654 - Float             20C3A694 : 8000               20BFD294 : 7000               
0658 - Pointer           20C3A698 : P->438836B7        20BFD298 : P->43AAF2B4        
065C - Pointer           20C3A69C : P->3E4A3D71        20BFD29C : P->3EB9CE6C        
0660 - Double            20C3A6A0 : 0.0000331625995530220BFD2A0 : 0.000141287134723708
0668 - Double            20C3A6A8 : 0.0007519532212798620BFD2A8 : 0.00237146997303259
0670 - Double            20C3A6B0 : 0.0029296879609592 20BFD2B0 : 0.00781250184744544
0678 - Byte              20C3A6B8 : 29                 20BFD2B8 : 202                
0679 - Byte              20C3A6B9 : 34                 20BFD2B9 : 25                 
067A - 2 Bytes           20C3A6BA : 16242              20BFD2BA : 16254              
067C - Float             20C3A6BC : 0.9604169726       20BFD2BC : 0.9906449914       
0680 - Float             20C3A6C0 : 0.9670829773       20BFD2C0 : 0.9864519835       
0684 - Double            20C3A6C4 : 0.0069791870115417 20BFD2C4 : 0.00615925061691087
068C - Byte              20C3A6CC : 125                20BFD2CC : 10                 
068D - String            20C3A6CD : w?                20BFD2CD : Út?Ð               
0691 - Byte              20C3A6D1 : 0                  20BFD2D1 : 209                
0692 - Byte              20C3A6D2 : 128                20BFD2D2 : 106                
0693 - Byte              20C3A6D3 : 63                 20BFD2D3 : 63                 
0694 - Double            20C3A6D4 : 0.0049218768179889620BFD2D4 : 0.000971851520051745
069C - Double            20C3A6DC : 0.0011527969013509920BFD2DC : 0.0000563315478762002
06A4 - Double            20C3A6E4 : 0.0002139882705060620BFD2E4 : 8.96025117238502E-9
06AC - Pointer           20C3A6EC : P->3F0F685A        20BFD2EC : P->3649539C        
06B0 - Pointer           20C3A6F0 : P->3EE4810A        20BFD2F0 : P->3649539C        
06B4 - 4 Bytes           20C3A6F4 : 1050274425         20BFD2F4 : 910775196          
06B8 - 4 Bytes           20C3A6F8 : 1042601499         20BFD2F8 : 910775196          
06BC - 4 Bytes           20C3A6FC : 0                  20BFD2FC : 910775196          
06C0 - 4 Bytes           20C3A700 : 0                  20BFD300 : 910775196          
06C4 - 4 Bytes           20C3A704 : 0                  20BFD304 : 910775196          
06C8 - 4 Bytes           20C3A708 : 0                  20BFD308 : 910775196          
06CC - 4 Bytes           20C3A70C : 0                  20BFD30C : 910775196          
06D0 - 4 Bytes           20C3A710 : 0                  20BFD310 : 910775196          
06D4 - 4 Bytes           20C3A714 : 0                  20BFD314 : 910775196          
06D8 - 4 Bytes           20C3A718 : 0                  20BFD318 : 910775196          
06DC - Double            20C3A71C : 0.0027343747006671 20BFD31C : 0.0027343747006671 
06E4 - Float             20C3A724 : 1                  20BFD324 : 1                  
06E8 - Pointer           20C3A728 : P->3D8E5456        20BFD328 : P->3E329F8F        
06EC - Double            20C3A72C : 85.3333129882813   20BFD32C : 0.43137264251709   
06F4 - Double            20C3A734 : 0.0119791701436043 20BFD334 : 6.6509828568995    
06FC - Byte              20C3A73C : 174                20BFD33C : 174                
06FD - Byte              20C3A73D : 71                 20BFD33D : 71                 
06FE - Byte              20C3A73E : 97                 20BFD33E : 97                 
06FF - Byte              20C3A73F : 62                 20BFD33F : 62                 
0700 - 4 Bytes           20C3A740 : 0                  20BFD340 : 0                  
0704 - Float             20C3A744 : 10                 20BFD344 : 10                 
0708 - 4 Bytes           20C3A748 : 2052               20BFD348 : 1284               
070C - String            20C3A74C : DCH_EVO1           20BFD34C : FIA_COU            
0715 - Byte              20C3A755 : 0                  20BFD355 : 0                  
0716 - Byte              20C3A756 : 0                  20BFD356 : 0                  
0717 - Byte              20C3A757 : 0                  20BFD357 : 0                  
0718 - Float             20C3A758 : 12800              20BFD358 : 12800              
071C - Float             20C3A75C : 12800              20BFD35C : 12800              
0720 - Float             20C3A760 : 8000               20BFD360 : 7000               
0724 - Pointer           20C3A764 : P->438CDDFE        20BFD364 : P->43AFB5C8        
0728 - Pointer           20C3A768 : P->3E4A3D71        20BFD368 : P->3EB9CE6C        
072C - Double            20C3A76C : 0.0000331625995530220BFD36C : 0.000141287134723708
0734 - Double            20C3A774 : 0.0007519532212798620BFD374 : 0.00237146997303259
073C - Double            20C3A77C : 0.0029296879609592 20BFD37C : 0.00781250184744544
0744 - Byte              20C3A784 : 29                 20BFD384 : 202                
0745 - Byte              20C3A785 : 34                 20BFD385 : 25                 
0746 - 2 Bytes           20C3A786 : 16242              20BFD386 : 16254              
0748 - Float             20C3A788 : 0.9604169726       20BFD388 : 0.9906449914       
074C - Float             20C3A78C : 0.9670829773       20BFD38C : 0.9864519835       
0750 - Double            20C3A790 : 0.0069791870115417 20BFD390 : 0.00615925061691087
0758 - Byte              20C3A798 : 125                20BFD398 : 10                 
0759 - String            20C3A799 : w?                20BFD399 : Út?Ð               
075D - Byte              20C3A79D : 0                  20BFD39D : 209                
075E - Byte              20C3A79E : 128                20BFD39E : 106                
075F - Byte              20C3A79F : 63                 20BFD39F : 63                 
0760 - Double            20C3A7A0 : 0.0049218768179889620BFD3A0 : 0.000971851520051745
0768 - Double            20C3A7A8 : 0.0011527969013509920BFD3A8 : 0.0000563315478762002
0770 - Double            20C3A7B0 : 0.0002139882705060620BFD3B0 : 8.96025117238502E-9
0778 - Pointer           20C3A7B8 : P->3F0F685A        20BFD3B8 : P->3649539C        
077C - Pointer           20C3A7BC : P->3EE4810A        20BFD3BC : P->3649539C        
0780 - 4 Bytes           20C3A7C0 : 1050274425         20BFD3C0 : 910775196          
0784 - 4 Bytes           20C3A7C4 : 1042601499         20BFD3C4 : 910775196          
0788 - 4 Bytes           20C3A7C8 : 0                  20BFD3C8 : 910775196          
078C - 4 Bytes           20C3A7CC : 0                  20BFD3CC : 910775196          
0790 - 4 Bytes           20C3A7D0 : 0                  20BFD3D0 : 910775196          
0794 - 4 Bytes           20C3A7D4 : 0                  20BFD3D4 : 910775196          
0798 - 4 Bytes           20C3A7D8 : 0                  20BFD3D8 : 910775196          
079C - 4 Bytes           20C3A7DC : 0                  20BFD3DC : 910775196          
07A0 - 4 Bytes           20C3A7E0 : 0                  20BFD3E0 : 910775196          
07A4 - 4 Bytes           20C3A7E4 : 0                  20BFD3E4 : 910775196          
07A8 - Double            20C3A7E8 : 0.0027343747006671 20BFD3E8 : 0.0027343747006671 
07B0 - Float             20C3A7F0 : 1                  20BFD3F0 : 1                  
07B4 - Byte              20C3A7F4 : 26                 20BFD3F4 : 95                 
07B5 - Byte              20C3A7F5 : 49                 20BFD3F5 : 153                
07B6 - 2 Bytes           20C3A7F6 : 15763              20BFD3F6 : 15927              
07B8 - Double            20C3A7F8 : 46.2222290039063   20BFD3F8 : 0.215909123420715  
07C0 - Double            20C3A800 : 0.0151537731289864 20BFD400 : 7.56363773420453   
07C8 - Byte              20C3A808 : 174                20BFD408 : 174                
07C9 - Byte              20C3A809 : 71                 20BFD409 : 71                 
07CA - Byte              20C3A80A : 97                 20BFD40A : 97                 
07CB - Byte              20C3A80B : 62                 20BFD40B : 62                 
07CC - 4 Bytes           20C3A80C : 0                  20BFD40C : 0                  
07D0 - Float             20C3A810 : 10                 20BFD410 : 10                 
07D4 - 4 Bytes           20C3A814 : 2052               20BFD414 : 1284               
07D8 - String            20C3A818 : DCH_EVO1           20BFD418 : FIA_COU            
07E1 - Byte              20C3A821 : 0                  20BFD421 : 0                  
07E2 - Byte              20C3A822 : 0                  20BFD422 : 0                  
07E3 - Byte              20C3A823 : 0                  20BFD423 : 0                  
07E4 - Float             20C3A824 : 12800              20BFD424 : 12800              
07E8 - Float             20C3A828 : 12800              20BFD428 : 12800              
07EC - Float             20C3A82C : 8000               20BFD42C : 7000               
07F0 - Pointer           20C3A830 : P->43918546        20BFD430 : P->43B478DB        
07F4 - Pointer           20C3A834 : P->3E4A3D71        20BFD434 : P->3EB9CE6C        
07F8 - Double            20C3A838 : 0.0000331625995530220BFD438 : 0.000141287134723708
0800 - Double            20C3A840 : 0.0007519532212798620BFD440 : 0.00237146997303259
0808 - Double            20C3A848 : 0.0029296879609592 20BFD448 : 0.00781250184744544
0810 - Byte              20C3A850 : 29                 20BFD450 : 202                
0811 - Byte              20C3A851 : 34                 20BFD451 : 25                 
0812 - 2 Bytes           20C3A852 : 16242              20BFD452 : 16254              
0814 - Float             20C3A854 : 0.9604169726       20BFD454 : 0.9906449914       
0818 - Float             20C3A858 : 0.9670829773       20BFD458 : 0.9864519835       
081C - Double            20C3A85C : 0.0069791870115417 20BFD45C : 0.00615925061691087
0824 - Byte              20C3A864 : 125                20BFD464 : 10                 
0825 - String            20C3A865 : w?                20BFD465 : Út?Ð               
0829 - Byte              20C3A869 : 0                  20BFD469 : 209                
082A - Byte              20C3A86A : 128                20BFD46A : 106                
082B - Byte              20C3A86B : 63                 20BFD46B : 63                 
